index,product,price,description
0,Толстовка Gap,1499,Практичная и удобная толстовка из полиэстра и хлопка.
1,Футболка Brave Soul,799,Стильная футболка из 100%-ного хлопка.
2,Рубашка O'stin,2799,Строгая фотболка из эластана и полиэстра. 
3,Мяч баскетбольный Molten,7191,Баскетбольный мяч из высококачественной композитной кожи.
4,Тапочки De Fonseca,1790,"Смешные тапки, приклекающего внимания каждого!"
5,Бейсболка Lyle & Scott,1970,Стильная бейсболка из 100%-ного хлопка.
6,Носки Burton,1070,Удобные хлопковые носки.
7,Очки Dolce&Gabbana,15800,Солнцзащитные стильные очки из ацетата.
8,Палантин Liu Jo,3850,Нежный палантин из тонкого текстиля.
9,Браслет Vitacci,1030,Браслет из натуральной кожи.
10,Сумка Keddo,1880,Сумка-рюкзак из искусственной кожи.
11,Браслет Спартак,490,Браслет из искусственной кожи.
12,Сумка Keddo,2500,Сумка из мягкой искусственной кожи.
13,Ремень Ivyrevel,2199,Ремень из искусственной лакированной кожи.
14,Очки Gucci,29800,Солнцзащитные стильные очки из ацетата.
15,"Парфюмерная вода Dolce&Gabbana, 50 мл",8100,"Прекрасный цветочный аромат, пленяющий окружиющих."
16,"Туалетная вода Sergio Tacchini, 50 мл",1043,Цветочный древесно-мускусный аромат.
17,Кольцо Exclaim,4690,Вид и проба драгоценного металла: Серебро 925
18,Колье Exclaim,9590,Вечернее модное колье-чокер из серебра.
19,Серьги Exclaim,4990,Длинные серьги из серебра.
20,Браслет Exclaim,7790,Браслет-цепь с элементами-кольцами.
21,Брошь Valtera,4290,Серебряная брошь с золочением и цветными вставками.
